iri	iri label	entity	entity label	plant_part	plant_part label
	root Al content	CHEBI:49470	aluminium(3+)	PO:0025025	root system
	root As content	CHEBI:35829	arsenic(5+)	PO:0025026	root system
	root B content	CHEBI:30168	boron(3+)	PO:0025027	root system
	root Ba content	CHEBI:37136	barium(2+)	PO:0025028	root system
	root Ca content	CHEBI:39124	calcium ion	PO:0025029	root system
	root Cd content	CHEBI:48775	cadmium(2+)	PO:0025030	root system
	root Co content	CHEBI:23336	cobalt cation	PO:0025031	root system
	root Cr content	CHEBI:33516	chromium cation	PO:0025032	root system
	root Cu content	CHEBI:29036	copper(2+)	PO:0025033	root system
	root Fe content	CHEBI:24875	iron cation	PO:0025034	root system
	root I content	CHEBI:33116	iodine(1+)	PO:0025035	root system
	root K content	CHEBI:29103	potassium(1+)	PO:0025036	root system
	root Li content	CHEBI:49713	lithium(1+)	PO:0025037	root system
	root Mg content	CHEBI:18420	magnesium(2+)	PO:0025038	root system
	root Mn content	CHEBI:29035	manganese(2+)	PO:0025039	root system
	root Mo content	CHEBI:37239	molybdenum cation	PO:0025040	root system
	root Na content	CHEBI:29101	sodium(1+)	PO:0025041	root system
	root Ni content	CHEBI:25516	nickel cation	PO:0025042	root system
	root P content	CHEBI:33467	phosphorus(1+)	PO:0025043	root system
	root Pb content	CHEBI:30180	lead(4+)	PO:0025044	root system
	root Rb content	CHEBI:49847	rubidium(1+)	PO:0025045	root system
	root S content	CHEBI:29832	sulfur(1+)	PO:0025046	root system
	root Se content	CHEBI:60250	selenium ion	PO:0025047	root system
	root Si content	CHEBI:30584	silicon(4+)	PO:0025048	root system
	root Sr content	CHEBI:39130	strontium ion	PO:0025049	root system
	root Zn content	CHEBI:27365	zinc ion	PO:0025049	root system
	shoot Al content	CHEBI:49470	aluminium(3+)	PO:0009006	shoot system
	shoot As content	CHEBI:35829	arsenic(5+)	PO:0009006	shoot system
	shoot B content	CHEBI:30168	boron(3+)	PO:0009006	shoot system
	shoot Ba content	CHEBI:37136	barium(2+)	PO:0009006	shoot system
	shoot Ca content	CHEBI:39124	calcium ion	PO:0009006	shoot system
	shoot Cd content	CHEBI:48775	cadmium(2+)	PO:0009006	shoot system
	shoot Co content	CHEBI:23336	cobalt cation	PO:0009006	shoot system
	shoot Cr content	CHEBI:33516	chromium cation	PO:0009006	shoot system
	shoot Cu content	CHEBI:29036	copper(2+)	PO:0009006	shoot system
	shoot Fe content	CHEBI:24875	iron cation	PO:0009006	shoot system
	shoot I content	CHEBI:33116	iodine(1+)	PO:0009006	shoot system
	shoot Li content	CHEBI:49713	lithium(1+)	PO:0009006	shoot system
	shoot Mg content	CHEBI:18420	magnesium(2+)	PO:0009006	shoot system
	shoot Mn content	CHEBI:29035	manganese(2+)	PO:0009006	shoot system
	shoot Mo content	CHEBI:37239	molybdenum cation	PO:0009006	shoot system
	shoot Ni content	CHEBI:25516	nickel cation	PO:0009006	shoot system
	shoot Pb content	CHEBI:30180	lead(4+)	PO:0009006	shoot system
	shoot Rb content	CHEBI:49847	rubidium(1+)	PO:0009006	shoot system
	shoot S content	CHEBI:29832	sulfur(1+)	PO:0009006	shoot system
	shoot Se content	CHEBI:60250	selenium ion	PO:0009006	shoot system
	shoot Si content	CHEBI:30584	silicon(4+)	PO:0009006	shoot system
	shoot Sr content	CHEBI:39130	strontium ion	PO:0009006	shoot system
	shoot Zn content	CHEBI:27365	zinc ion	PO:0009006	shoot system