defined_class	defined_class_label	attribute	attribute_label	entity	entity_label	qualifier	qualifier_label
TO:0000078	root weight	PATO:0000125	mass	PO:0009005	root	PATO:0001824	dry
TO:0000831	adult leaf morphology trait	PATO:0001241	physical object quality	PO:0025034	leaf	PATO:0001701	mature
TO:0000132	basal internode diameter	PATO:0001334	diameter	PO:0020142	stem internode	PATO:0002349	basal to
TO:0001009	deep root number	PATO:0001555	has number of	PO:0009005	root	PATO:0001596	increased depth
TO:0000891	leaf wet weight	PATO:0000125	mass	PO:0025034	leaf	PATO:0001823	wet
TO:0001014	leaf dry weight	PATO:0000125	mass	PO:0025034	leaf	PATO:0001824	dry
TO:0000812	tassel branch dry weight	PATO:0000125	mass	PO:0006323	tassel inflorescence branch	PATO:0001824	dry
TO:0000352	plant dry weight	PATO:0000125	mass	PO:0000003	whole plant	PATO:0001824	dry
TO:0000556	rhizome dry weight	PATO:0000125	mass	PO:0004542	rhizome	PATO:0001824	dry
TO:0003000	stem fresh weight	PATO:0000125	mass	PO:0009047	stem	PATO:0001823	wet
TO:0003002	infructescence fresh weight	PATO:0000125	mass	PO:0006342	infructescence	PATO:0001823	wet
TO:0003004	fruit fresh weight	PATO:0000125	mass	PO:0009001	fruit	PATO:0001823	wet
TO:0003007	hand fresh weight	PATO:0000125	mass	PO:0025241	second order infructescence	PATO:0001823	wet
TO:0003010	tuberous root tuber fresh weight	PATO:0000125	mass	PO:0025476	tuberous root tuber	PATO:0001823	wet
TO:0003012	subterranean shoot axis tuber fresh weight	PATO:0000125	mass	PO:0004547	subterranean shoot axis tuber	PATO:0001823	wet
TO:0003014	grain fresh weight	PATO:0000125	mass	PO:0030104	caryopsis fruit	PATO:0001823	wet
TO:0003020	panicle fresh weight	PATO:0000125	mass	PO:0030123	panicle inflorescence	PATO:0001823	wet
TO:0003022	ear fresh weight	PATO:0000125	mass	PO:0025597	ear infructescence	PATO:0001823	wet
TO:0003024	cob fresh weight	PATO:0000125	mass	PO:0025623	ear infructescence axis	PATO:0001823	wet
TO:0003027	spike fresh weight	PATO:0000125	mass	PO:0030117	spike inflorescence	PATO:0001823	wet
TO:0003030	legume fresh weight	PATO:0000125	mass	PO:0030100	legume fruit	PATO:0001823	wet
TO:0003032	pepo fresh weight	PATO:0000125	mass	PO:0030111	pepo fruit	PATO:0001823	wet
TO:0003001	stem dry weight	PATO:0000125	mass	PO:0009047	stem	PATO:0001824	dry
TO:0003003	infructescence dry weight	PATO:0000125	mass	PO:0006342	infructescence	PATO:0001824	dry
TO:0003005	fruit dry weight	PATO:0000125	mass	PO:0009001	fruit	PATO:0001824	dry
TO:0003008	hand dry weight	PATO:0000125	mass	PO:0025241	second order infructescence	PATO:0001824	dry
TO:0003011	tuberous root tuber dry weight	PATO:0000125	mass	PO:0025476	tuberous root tuber	PATO:0001824	dry
TO:0003013	subterranean shoot axis tuber dry weight	PATO:0000125	mass	PO:0004547	subterranean shoot axis tuber	PATO:0001824	dry
TO:0003015	grain dry weight	PATO:0000125	mass	PO:0030104	caryopsis fruit	PATO:0001824	dry
TO:0003021	panicle dry weight	PATO:0000125	mass	PO:0030123	panicle inflorescence	PATO:0001824	dry
TO:0003023	ear dry weight	PATO:0000125	mass	PO:0025597	ear infructescence	PATO:0001824	dry
TO:0003025	cob dry weight	PATO:0000125	mass	PO:0025623	ear infructescence axis	PATO:0001824	dry
TO:0003028	spike dry weight	PATO:0000125	mass	PO:0030117	spike inflorescence	PATO:0001824	dry
TO:0003029	legume dry weight	PATO:0000125	mass	PO:0030100	legume fruit	PATO:0001824	dry
TO:0003033	pepo dry weight	PATO:0000125	mass	PO:0030111	pepo fruit	PATO:0001824	dry