iri	iri name	stressor	stressor label
TO:0005006	glyphosate sensitivity	CHEBI:27744	glyphosate
TO:0000012	hydrogen sensitivity	CHEBI:49637	hydrogen atom
TO:0005007	glufosinate sensitivity	CHEBI:52136	phosphinothricin
TO:0020060	barley powdery mildew disease resistance	NCBITaxon:62688	Blumeria graminis f. sp. hordei
TO:0020061	wheat powdery mildew disease resistance	NCBITaxon:62690	Blumeria graminis f. sp. tritici
TO:0020052	barley spot blotch disease resistance	NCBITaxon:45130	Bipolaris sorokiniana
TO:0020053	wheat spot blotch disease resistance	NCBITaxon:45130	Bipolaris sorokiniana
TO:0005010	rootworm resistance	NCBITaxon:50385	Diabrotica
TO:0002702	cercospora leaf spot resistance	NCBITaxon:29002	cercospora
TO:0000378	leaf scald disease resistance	NCBITaxon:87749	Monographella albescens
TO:0020098	nitrate sensitivity	CHEBI:17632	nitrate
TO:0000173	ethylene sensitivity	CHEBI:18153	ethene
TO:0000224	iron sensitivity	CHEBI:18248	iron atom
TO:0000073	manganese sensitivity	CHEBI:18291	manganese atom
TO:0000172	jasmonic acid sensitivity	CHEBI:18292	jasmonic acid
TO:0000615	abscisic acid sensitivity	CHEBI:22152	2-cis-abscisic acid
TO:0000163	auxin sensitivity	CHEBI:22676	auxin
TO:0000006	calcium sensitivity	CHEBI:22984	calcium atom
TO:0000029	chlorine sensitivity	CHEBI:23116	chlorine atom
TO:0000167	cytokinin sensitivity	CHEBI:23530	cytokinin
TO:0000038	fluorine sensitivity	CHEBI:24061	fluorine atom
TO:0000058	herbicide sensitivity	CHEBI:24527	herbicide
TO:0000711	imidazolinone sensitivity	CHEBI:24781	imidazolinone
TO:0000182	insecticide sensitivity	CHEBI:24852	insecticide
TO:0000033	iodine sensitivity	CHEBI:24859	iodine atom
TO:0000429	salt sensitivity	CHEBI:24866	salt
TO:0000010	magnesium sensitivity	CHEBI:25107	magnesium atom
TO:0000011	nitrogen sensitivity	CHEBI:25555	nitrogen atom
TO:0000015	oxygen sensitivity	CHEBI:25805	oxygen atom
TO:0002649	pesticide sensitivity	CHEBI:25944	pesticide
TO:0000008	potassium sensitivity	CHEBI:26216	potassium atom
TO:0000007	sulfur sensitivity	CHEBI:26833	sulfur atom
TO:0000351	zinc sensitivity	CHEBI:27363	zinc atom
TO:0000018	boron sensitivity	CHEBI:27560	boron atom
TO:0000032	selenium sensitivity	CHEBI:27568	selenium atom
TO:0000031	silicon sensitivity	CHEBI:27573	silicon atom
TO:0000001	carbon sensitivity	CHEBI:27594	carbon atom
TO:0000016	cobalt sensitivity	CHEBI:27638	cobalt atom
TO:0000034	chromium sensitivity	CHEBI:28073	chromium atom
TO:0000102	phosphorus sensitivity	CHEBI:28659	phosphorus atom
TO:0000025	molybdenum sensitivity	CHEBI:28685	molybdenum atom
TO:0000021	copper sensitivity	CHEBI:28694	copper atom
TO:0000354	aluminum sensitivity	CHEBI:28984	aluminium atom
TO:0000479	acid sensitivity	CHEBI:37527	acid
TO:0000012	hydrogen sensitivity	CHEBI:49637	hydrogen atom